#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Love's a Stranger","Warhaus",59,162,"belgian indie, belgian rock","Rock","Warhaus",2017-10-13,03:26,56,59,20,0,62,0,10,-9,A Minor,4,2024-01-15,279LczresTWVkCsdLwgJSZ,"Play It Again Sam",8A,https://p.scdn.co/mp3-preview/daf2baf64479a83fcc933efe6e97fc4e35ce994c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e7467c39c307d32c6c77754c
2,"A Prayer Of My Own","Nick Mulvey",49,98,"british singer-songwriter, cambridgeshire indie, indie folk","Folk/Acoustic, Rock","New Mythology",2022-06-10,04:33,71,37,64,33,35,0,10,-13,A#/B♭ Major,4,2024-01-15,79vS51eJbq9S7ssEj8pBbQ,"Fiction",6B,,https://i.scdn.co/image/ab67616d00004851eb660284ea520749e8cd6ab4
3,"Affection","Black Sea Dahu",40,126,"swiss indie, swiss indie folk, swiss singer-songwriter, zurich indie","Electronic, Folk/Acoustic, Rock","I Am My Mother",2022-02-25,05:14,45,24,76,5,14,0,10,-14,G#/A♭ Major,4,2024-01-15,7vW0yja9eawdmPTHQj6D7s,"Mouthwatering Records",4B,https://p.scdn.co/mp3-preview/fe3fe58b234d842fe2e0f52f9e5c30b58a1530bd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851552f600750165927012b4a82
4,"How You Swallowed your Anger","Black Sea Dahu",36,136,"swiss indie, swiss indie folk, swiss singer-songwriter, zurich indie","Electronic, Folk/Acoustic, Rock","How You Swallowed your Anger",2019-06-28,03:56,41,18,94,0,25,0,10,-14,D Major,4,2024-01-15,6vmbgm6ogRW7y502goY69c,"Black Sea Dahu",10B,https://p.scdn.co/mp3-preview/b17130869f8fcea1565cd57fbcfe3ba1deefc7e0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485108a2c6191773fab692b99d05
5,"Chalkboard","Jóhann Jóhannsson",69,93,"compositional ambient, experimental classical, icelandic classical, icelandic experimental, nordic soundtrack, soundtrack","Classical, Easy listening","The Theory of Everything (Original Motion Picture Soundtrack)",2014-11-04,01:05,43,11,89,77,8,0,0,-16,A Minor,4,2024-01-15,7bJ6xGa3RG2dQgNiK10uAv,"Back Lot Music",8A,https://p.scdn.co/mp3-preview/b4e00a9ca53e6cf575f0839677511218e13e0e55?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485135f29c49f7e47f24df12eeb9
6,"Looked Up To You","Craig Wedren,Jefferson Friedman,Alex Shenkman",66,120,"american 21st century classical, ","Classical","New Amsterdam (Music From The Television Series)",2021-03-02,01:25,29,5,100,92,11,0,0,-27,E Minor,4,2024-01-15,5JSvMEfZI2cbtVXcSKFgse,"Back Lot Music",9A,https://p.scdn.co/mp3-preview/85c493773a10ee5f2dc94e358e0c96567b3f750f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851efa3aacbb5a9a003f0efc3a8
7,"Tema de Amor - De: " Romeo y Julieta "","Henry Salomon y su Orquesta",57,75,"romantico","Easy listening","La Música en el Cine, Vol.1 (Temas Románticos)",2013-03-11,02:08,12,26,66,89,21,0,30,-19,C Minor,3,2024-01-15,0WReEtAiqdsW9Qnja9ORmB,"Divucsa",5A,https://p.scdn.co/mp3-preview/f159a57bbdbc4cd8be30952afd7a72a6d866d0ee?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c97ea88f8f7cb07eb40774ed
8,"Thème de Nadia","Vladimir Cosma,Maurice Dalle",42,95,"french soundtrack, vintage french electronic, ","Easy listening, Electronic","Michel Strogoff (Bande originale de la série TV)",2014-12-31,02:43,20,20,87,12,10,0,10,-16,A Minor,4,2024-01-15,4ieQux3mh1Ey81l8frdDpi,"Larghetto",8A,https://p.scdn.co/mp3-preview/a534ceb68cd1aa5f2402726b94562b652cc7b992?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513728050b66abaa3e0304d11e
9,"Love Hurts","Incubus",60,78,"alternative metal, alternative rock, funk metal, funk rock, nu metal, post-grunge, rock","Metal, Rock","Light Grenades",2006-11-28,03:57,47,81,1,0,41,0,10,-4,E Minor,4,2024-01-15,5JTgqOeHWg4bxMZYMRTE4H,"Epic/Immortal",9A,https://p.scdn.co/mp3-preview/1d35ba108d0847ec06ebe1975cfed8e16c4b53d2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485158f4ef37dc0cdb68f858808d
10,"Love Will Come Through","Travis",50,159,"britpop","Pop","12 Memories",2003-10-14,03:40,31,79,14,0,53,0,10,-7,B Minor,3,2024-01-15,2izfjg0fdiyy7DJvYwHwvL,"Craft Recordings",10A,,https://i.scdn.co/image/ab67616d000048518fde79f537c20f8f526a2d7e
