#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
218,Bir Derdim Var - Canlı Senfonik,mor ve ötesi,41,121,"turkish alternative, turkish alternative rock, turkish rock","Pop, Rock",Bir Derdim Var (Canlı Senfonik),2018-12-28,04:16,33,79,4,2,9,0,80,-7,B Minor,4,2024-01-17,0IGAXCD6NlQlNSvuptbjxR,RAKUN MÜZİK FİLM,10A,https://p.scdn.co/mp3-preview/a3faef5c1496f57f655088d394a5f817a42ef351?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513f4cd25c6ea86c98d54f52b1
285,Wherever You Are,Kodaline,57,126,"irish pop, modern rock","Pop, Rock",One Day At A Time,2020-06-12,03:05,52,57,17,0,37,0,0,-7,E Major,4,2024-01-17,42fu5cmEhi5EWmoqaZUZuK,Fantasy,12B,,https://i.scdn.co/image/ab67616d0000485157ec56e5de7ec77b3c231f3b
12,Someone New,Hozier,74,92,"irish singer-songwriter, modern rock, pov: indie","Folk/Acoustic, Rock, Pop",Hozier,2014-07-20,03:42,59,54,41,0,58,0,20,-6,G Major,4,2024-01-17,22sS7JkzeVeq4vOPCB6Fbj,Universal-Island Records Ltd.,9B,,https://i.scdn.co/image/ab67616d000048517a9bf5f82e32d33d4503fe7b
17,My Type,Saint Motel,70,118,"la indie, modern alternative rock, modern rock, pov: indie","Pop, Rock",My Type,2014-06-17,03:26,60,90,6,0,58,0,0,-3,A#/B♭ Major,4,2024-01-17,2DFi8rwHcVkTTgu7PULhtI,Parlophone UK,6B,https://p.scdn.co/mp3-preview/c2a53d509f5073ccdfaa8151964cc4fa97f50ad1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514c8d86fcf617d28a7c55818b
52,Lonely,Palaye Royale,69,148,"modern alternative rock, vegas indie",Rock,The Bastards,2020-05-29,03:06,62,62,6,0,48,0,0,-6,D Minor,4,2024-01-17,4jXbcY2ulVT7MOPdN8nR50,Sumerian Records,7A,,https://i.scdn.co/image/ab67616d0000485169ec580ab2b0047ca579c766
141,Lifeless Stars,Palaye Royale,52,82,"modern alternative rock, vegas indie",Rock,Fever Dream,2022-10-28,03:17,49,69,6,0,48,0,10,-6,C♯/D♭ Major,4,2024-01-17,243CJRiApoSoUqFTm641Uf,Sumerian Records,3B,,https://i.scdn.co/image/ab67616d00004851ba4846438180facd6b6935a8
231,Best of You,Foo Fighters,79,130,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock","Metal, Rock",In Your Honor,2005-06-14,04:15,37,94,0,0,37,0,10,-5,C♯/D♭ Minor,4,2024-01-17,5FZxsHWIvUsmSK1IAvm2pp,RCA Records Label,12A,https://p.scdn.co/mp3-preview/663c0b487fce5c988d695cba4c20916a56760bdb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516c44679425e2695001b35d72
54,Stop Crying Your Heart Out,Oasis,75,75,"beatlesque, britpop, madchester, permanent wave, rock","Folk/Acoustic, Pop, Rock",Heathen Chemistry,2002-02-03,05:03,38,57,8,0,9,0,0,-5,D Major,4,2024-01-17,5YciOakY5dB5dULkiLdCaf,Big Brother,10B,https://p.scdn.co/mp3-preview/1ce09f02790a99323903a72c0c87bfc0bc76d430?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f687135853a4488b2178d0bf
78,Ragged Wood,Fleet Foxes,58,105,"chamber pop, folk, indie folk, indie rock, indietronica, modern rock, seattle indie, singer-songwriter, stomp and holler","Pop, Folk/Acoustic, Rock",Fleet Foxes,2008-06-03,05:07,36,66,11,1,16,0,0,-7,E Major,4,2024-01-17,2qvToeBdYliw6n0nEsKJQa,Sub Pop Records,12B,https://p.scdn.co/mp3-preview/2ccec5308f6adf9d6cbeee4bc52e3991eca3d016?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513818b4c636e2a7fdea3bf965
21,Running Out of Time,The Strumbellas,35,81,"canadian indie, folk-pop, stomp and holler","Rock, Pop, Folk/Acoustic",Running Out of Time,2023-11-10,03:44,47,71,1,0,46,0,10,-6,C Major,4,2024-01-17,2v8T1IjMRhj4d6oHpqpI1O,Glassnote Music LLC,8B,https://p.scdn.co/mp3-preview/5e6598a4a7e845f706b3b5a261a2c829a28e198c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e71ffc6675eda98f2f2d798c
166,Nobody Knows,The Lumineers,59,82,"folk-pop, modern rock, neo mellow, stomp and holler","Pop, Rock, Folk/Acoustic",Pete's Dragon (Original Motion Picture Soundtrack),2016-08-12,03:08,63,38,76,0,20,0,10,-13,A Major,4,2024-01-17,7A0FGrZsLgOUmeNtMTnt4z,Walt Disney Records,11B,,https://i.scdn.co/image/ab67616d000048512ae27cc6d91ecd074807db6d
