#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Barfuß am Klavier","AnnenMayKantereit",66,103,"cologne indie, german singer-songwriter","Classical, Pop","Alles nix konkretes",2016-03-18,03:15,52,27,89,2,21,0,10,-12,C Major,4,2024-01-15,4kr64ggr6ALZGxnkGdhK7b,"Vertigo Berlin",8B,,https://i.scdn.co/image/ab67616d0000485153368d5c0af58c7a9000ea4a
2,"Nur zu Besuch","Lina Maly",49,78,"german singer-songwriter","Pop","Nur zu Besuch",2016-08-26,03:24,58,47,36,0,28,0,0,-10,C Major,4,2024-01-15,3ziZ5RDa0q6XAfj40bWsKV,"WM Germany",8B,https://p.scdn.co/mp3-preview/56b1a7979a5bd316c8097577898e54d2eb214244?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485171dd89a4d8778883590a9163
3,"High Hopes","Kodaline",69,77,"irish pop, modern rock","Pop, Rock","In A Perfect World (Expanded Edition)",2013-06-17,03:50,49,49,58,0,22,0,10,-6,E Major,4,2024-01-15,6KkyuDhrEhR5nJVKtv9mCf,"B-Unique/RCA",12B,https://p.scdn.co/mp3-preview/a5dd20f0ba725852659f05d83b98a489ba18e611?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513e42854096da9a3b1ca901c9
4,"9 Crimes","Damien Rice",62,136,"irish rock, irish singer-songwriter, neo mellow, singer-songwriter","Rock, Folk/Acoustic","9",2006-11-06,03:37,35,14,91,0,12,0,0,-15,C Major,4,2024-01-15,5GZEeowhvSieFDiR8fQ2im,"14th Floor Records",8B,https://p.scdn.co/mp3-preview/8d2365ec45c9ec1a0e61792fae4b662d3d8ec8b4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851822529ba4d82fad5467fb378
5,"Wait","M83",73,148,"french shoegaze, french synthpop, indietronica, metropopolis, neo-synthpop","Metal, Pop, Electronic","Hurry up, We're Dreaming",2011-10-17,05:43,43,23,20,13,8,0,0,-11,D Major,4,2024-01-15,01Q3OyB05mLgH01fpdAMPP,"M83 Recording Inc",10B,https://p.scdn.co/mp3-preview/6e8a4504d2a4b0cf92fd19f2807e0179c897a17a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b3591763154a27326b3f431a
6,"No Surprises","Radiohead",85,76,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock","Rock, Folk/Acoustic","OK Computer",1997-05-28,03:49,26,39,6,0,12,0,10,-11,F Major,4,2024-01-15,10nyNJ6zNy2YVYLrcwLccB,"XL Recordings",7B,https://p.scdn.co/mp3-preview/969161ef645e3e89a4ee8a0274013dae480a9e2d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c8b444df094279e70d0ed856
7,"Paint","The Paper Kites",63,77,"acoustic pop, australian indie folk, indie anthem-folk, indie folk, stomp and flutter, stomp and holler","Pop, Folk/Acoustic","Young North",2012-09-07,03:11,55,30,89,0,40,0,10,-13,E Major,4,2024-01-15,5Ewz5ms8XpjtkihWFLnJJs,"The Paper Kites",12B,https://p.scdn.co/mp3-preview/c21c3af562281442583df14d79802765e67007af?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851975114142a52b6ca7ef981c4
8,"Nachts wach","Miksu / Macloud,makko",1,136,"german hip hop","Hip Hop","Nachts wach",2022-07-08,02:58,72,68,58,0,63,20,30,-7,F#/G♭ Minor,4,2024-01-15,0g2leZuI3jD5pRsrRIDvYe,"FUTURA",11A,,https://i.scdn.co/image/ab67616d00004851f94d5223ca4f723935b59ae4
9,"Look After You","The Fray",77,78,"neo mellow, piano rock, pop, pop rock","Folk/Acoustic, Rock, Pop","How To Save A Life",2005-09-13,04:26,45,59,6,0,28,0,10,-3,F#/G♭ Minor,4,2024-01-15,5l6hpyTGBK0LAAxgPnqTQL,"Epic",11A,https://p.scdn.co/mp3-preview/74dca102d659f4c73988b7ad189182bda3a87d1e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485159b8b957f164ce660919f1f4
10,"Beige","Yoke Lore",76,168,"nyc pop","Pop","Goodpain",2017-06-16,03:24,43,68,38,7,22,10,10,-8,A#/B♭ Major,4,2024-01-15,7uYQELhe7g6QLIzZDOlhbW,"Big Indie Records",6B,https://p.scdn.co/mp3-preview/6548c53f9f8c797db847fc6de624934979ea484c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f471411c4c4cc6e17d0bb759
