time;temperature_2m_C;relative_humidity_2m_percentage;rain_mm;cloud_cover_percentage;sunshine_duration_s
2023-09-28T00:00;21.0;85;0.00;38;0.00
2023-09-28T01:00;20.7;86;0.00;32;0.00
2023-09-28T02:00;20.5;87;0.00;34;0.00
2023-09-28T03:00;20.3;92;0.00;69;0.00
2023-09-28T04:00;20.6;91;2.70;40;0.00
2023-09-28T05:00;20.0;91;0.00;46;0.00
2023-09-28T06:00;19.5;88;0.00;46;0.00
2023-09-28T07:00;19.3;90;0.00;60;0.00
2023-09-28T08:00;20.0;89;0.00;63;0.00
2023-09-28T09:00;21.3;85;0.00;52;0.00
2023-09-28T10:00;22.5;79;0.00;100;3411.82
2023-09-28T11:00;23.6;75;0.20;100;1999.04
2023-09-28T12:00;25.3;66;0.20;91;3600.00
2023-09-28T13:00;25.8;63;0.30;67;3600.00
2023-09-28T14:00;26.2;60;0.50;55;3600.00
2023-09-28T15:00;21.2;89;1.40;31;3600.00
2023-09-28T16:00;22.6;80;0.20;49;0.00
2023-09-28T17:00;22.6;80;0.10;36;0.00
2023-09-28T18:00;21.4;84;2.30;100;505.02
2023-09-28T19:00;20.3;93;2.20;100;0.00
2023-09-28T20:00;19.4;92;0.10;51;0.00
2023-09-28T21:00;19.1;93;0.10;100;0.00
2023-09-28T22:00;18.9;95;2.50;100;0.00
2023-09-28T23:00;18.8;96;1.00;100;0.00
2023-09-29T00:00;18.8;97;0.10;100;0.00
2023-09-29T01:00;18.7;96;0.00;66;0.00
2023-09-29T02:00;18.3;98;0.00;47;0.00
2023-09-29T03:00;18.7;97;0.00;100;0.00
2023-09-29T04:00;18.5;96;0.10;100;0.00
2023-09-29T05:00;18.4;97;0.10;100;0.00
2023-09-29T06:00;18.9;94;0.00;100;0.00
2023-09-29T07:00;18.0;97;0.00;86;0.00
2023-09-29T08:00;18.9;96;0.00;89;0.00
2023-09-29T09:00;19.9;91;0.10;100;2193.76
2023-09-29T10:00;21.3;86;0.20;69;3600.00
2023-09-29T11:00;22.4;80;0.20;94;3600.00
2023-09-29T12:00;22.9;73;0.10;68;2561.35
2023-09-29T13:00;24.2;66;0.00;94;3600.00
2023-09-29T14:00;24.7;62;0.00;53;3600.00
2023-09-29T15:00;23.3;71;0.00;22;3600.00
2023-09-29T16:00;23.8;67;0.00;30;3600.00
2023-09-29T17:00;23.4;66;0.00;23;3600.00
2023-09-29T18:00;22.2;70;0.00;24;3600.00
2023-09-29T19:00;20.9;75;0.00;12;250.39
2023-09-29T20:00;20.0;81;0.00;20;0.00
2023-09-29T21:00;19.4;87;0.00;13;0.00
2023-09-29T22:00;18.1;94;0.00;9;0.00
2023-09-29T23:00;17.6;95;0.00;13;0.00
2023-09-30T00:00;17.8;92;0.00;23;0.00
2023-09-30T01:00;16.8;96;0.00;26;0.00
2023-09-30T02:00;16.3;96;0.00;46;0.00
2023-09-30T03:00;17.8;93;0.00;25;0.00
2023-09-30T04:00;17.0;94;0.00;38;0.00
2023-09-30T05:00;18.6;88;0.00;76;0.00
2023-09-30T06:00;18.8;88;0.10;64;0.00
2023-09-30T07:00;17.5;93;0.00;35;0.00
2023-09-30T08:00;19.1;90;0.00;100;42.20
2023-09-30T09:00;19.5;90;1.50;100;2464.00
2023-09-30T10:00;19.7;88;1.80;60;1393.54
2023-09-30T11:00;19.8;89;5.40;100;1895.36
2023-09-30T12:00;20.7;85;0.20;98;1200.77
2023-09-30T13:00;22.8;74;0.10;63;3600.00
2023-09-30T14:00;23.2;73;0.10;56;3600.00
2023-09-30T15:00;23.7;68;0.10;17;3600.00
2023-09-30T16:00;24.0;68;0.10;26;3600.00
2023-09-30T17:00;23.8;65;0.00;29;3600.00
2023-09-30T18:00;22.4;69;0.70;75;3600.00
2023-09-30T19:00;19.3;91;6.10;85;0.00
2023-09-30T20:00;18.3;96;3.10;98;0.00
2023-09-30T21:00;18.8;94;0.10;36;0.00
2023-09-30T22:00;18.4;95;0.10;59;0.00
2023-09-30T23:00;18.1;95;0.20;47;0.00
2023-10-01T00:00;17.9;95;0.20;100;0.00
2023-10-01T01:00;18.1;94;0.40;91;0.00
2023-10-01T02:00;18.0;95;0.10;64;0.00
2023-10-01T03:00;18.4;96;0.60;93;0.00
2023-10-01T04:00;18.2;95;0.50;100;0.00
2023-10-01T05:00;18.2;94;0.70;80;0.00
2023-10-01T06:00;18.3;94;0.20;100;0.00
2023-10-01T07:00;18.1;94;0.60;100;0.00
2023-10-01T08:00;18.0;95;0.50;100;0.00
2023-10-01T09:00;18.3;92;0.30;100;0.00
2023-10-01T10:00;18.4;91;0.40;100;0.00
2023-10-01T11:00;19.5;87;0.50;100;1135.12
2023-10-01T12:00;19.7;85;0.60;100;0.00
2023-10-01T13:00;19.5;87;0.60;100;0.00
2023-10-01T14:00;20.1;78;0.60;100;0.00
2023-10-01T15:00;19.3;91;0.80;100;696.16
2023-10-01T16:00;19.2;91;2.30;85;0.00
2023-10-01T17:00;18.6;93;1.10;90;0.00
2023-10-01T18:00;18.7;92;3.00;100;0.00
2023-10-01T19:00;18.0;94;3.30;100;0.00
2023-10-01T20:00;17.9;93;2.20;100;0.00
2023-10-01T21:00;18.4;92;0.40;99;0.00
2023-10-01T22:00;18.4;93;1.50;87;0.00
2023-10-01T23:00;18.6;92;0.20;81;0.00
2023-10-02T00:00;17.7;95;0.10;100;0.00
2023-10-02T01:00;17.8;91;0.00;62;0.00
2023-10-02T02:00;19.1;69;0.00;26;0.00
2023-10-02T03:00;20.4;63;0.00;28;0.00
2023-10-02T04:00;19.4;70;0.00;64;0.00
2023-10-02T05:00;19.5;72;0.20;62;0.00
2023-10-02T06:00;19.6;78;0.10;16;0.00
2023-10-02T07:00;18.2;85;0.30;16;0.00
2023-10-02T08:00;19.3;85;0.00;54;0.00
2023-10-02T09:00;20.5;85;0.40;100;3600.00
2023-10-02T10:00;18.8;88;0.90;100;0.00
2023-10-02T11:00;19.2;84;0.30;100;2475.64
2023-10-02T12:00;20.0;73;0.60;79;1194.51
2023-10-02T13:00;20.9;70;0.60;50;3600.00
2023-10-02T14:00;21.3;68;0.20;34;3600.00
2023-10-02T15:00;21.1;69;0.10;70;3600.00
2023-10-02T16:00;20.9;66;0.10;14;3600.00
2023-10-02T17:00;20.5;64;0.00;22;3600.00
2023-10-02T18:00;19.6;67;0.00;12;3600.00
2023-10-02T19:00;18.8;68;0.00;18;77.73
2023-10-02T20:00;18.4;69;0.00;19;0.00
2023-10-02T21:00;18.0;67;0.00;20;0.00
2023-10-02T22:00;18.0;62;0.00;57;0.00
2023-10-02T23:00;18.0;63;0.00;91;0.00
2023-10-03T00:00;17.9;65;0.00;7;0.00
2023-10-03T01:00;17.4;65;0.00;28;0.00
2023-10-03T02:00;16.4;69;0.00;55;0.00
2023-10-03T03:00;17.6;69;0.00;56;0.00
2023-10-03T04:00;17.6;68;0.00;43;0.00
2023-10-03T05:00;17.9;66;0.00;32;0.00
2023-10-03T06:00;17.3;68;0.00;26;0.00
2023-10-03T07:00;17.0;69;0.00;14;0.00
2023-10-03T08:00;17.8;69;0.00;10;1222.70
2023-10-03T09:00;20.2;61;0.00;47;3600.00
2023-10-03T10:00;20.6;57;0.00;74;3600.00
2023-10-03T11:00;21.0;58;0.00;46;3600.00
2023-10-03T12:00;20.9;58;0.00;59;3600.00
2023-10-03T13:00;21.6;55;0.00;71;3600.00
2023-10-03T14:00;22.0;53;0.00;41;3600.00
2023-10-03T15:00;22.7;51;0.00;47;3600.00
2023-10-03T16:00;21.9;54;0.00;9;3600.00
2023-10-03T17:00;21.4;55;0.00;11;3600.00
2023-10-03T18:00;20.6;59;0.00;4;3600.00
2023-10-03T19:00;19.1;64;0.00;7;86.21
2023-10-03T20:00;18.5;67;0.00;7;0.00
2023-10-03T21:00;18.0;70;0.00;9;0.00
2023-10-03T22:00;17.3;74;0.00;2;0.00
2023-10-03T23:00;16.7;79;0.00;1;0.00
2023-10-04T00:00;16.4;81;0.00;7;0.00
2023-10-04T01:00;16.3;82;0.00;7;0.00
2023-10-04T02:00;16.1;83;0.00;14;0.00
2023-10-04T03:00;15.4;85;0.00;0;0.00
2023-10-04T04:00;14.6;85;0.00;0;0.00
2023-10-04T05:00;14.3;82;0.00;0;0.00
2023-10-04T06:00;14.0;83;0.00;0;0.00
2023-10-04T07:00;13.4;87;0.00;0;0.00
2023-10-04T08:00;15.0;82;0.00;0;1584.78
2023-10-04T09:00;18.1;71;0.00;1;3600.00
2023-10-04T10:00;19.9;63;0.00;1;3600.00
2023-10-04T11:00;21.3;58;0.00;22;3600.00
2023-10-04T12:00;22.2;53;0.00;19;3600.00
2023-10-04T13:00;22.4;52;0.00;11;3600.00
2023-10-04T14:00;22.6;51;0.00;12;3600.00
2023-10-04T15:00;22.8;49;0.00;4;3600.00
2023-10-04T16:00;22.2;51;0.00;1;3600.00
2023-10-04T17:00;21.3;54;0.00;0;3600.00
2023-10-04T18:00;20.1;60;0.00;0;3600.00
