time;temperature_2m_C;relative_humidity_2m_percentage;rain_mm;cloud_cover_percentage;sunshine_duration_s
2023-04-08T00:00;6.2;95;0.00;45;0.00
2023-04-08T01:00;6.0;96;0.00;70;0.00
2023-04-08T02:00;6.0;95;0.00;98;0.00
2023-04-08T03:00;5.3;97;0.00;78;0.00
2023-04-08T04:00;5.3;97;0.00;37;0.00
2023-04-08T05:00;5.6;97;0.00;82;0.00
2023-04-08T06:00;6.3;96;0.00;84;0.00
2023-04-08T07:00;6.4;96;0.00;100;505.86
2023-04-08T08:00;7.2;94;0.00;100;2366.14
2023-04-08T09:00;8.4;86;0.00;100;3169.24
2023-04-08T10:00;9.9;76;0.00;62;3600.00
2023-04-08T11:00;11.8;64;0.00;61;3600.00
2023-04-08T12:00;12.3;59;0.00;67;3600.00
2023-04-08T13:00;12.4;56;0.00;76;3600.00
2023-04-08T14:00;12.5;56;0.00;55;3600.00
2023-04-08T15:00;12.4;56;0.00;35;3600.00
2023-04-08T16:00;12.1;56;0.00;100;3598.08
2023-04-08T17:00;11.5;60;0.00;100;0.00
2023-04-08T18:00;10.9;64;0.00;100;0.00
2023-04-08T19:00;10.0;69;0.00;98;0.00
2023-04-08T20:00;8.6;76;0.00;42;0.00
2023-04-08T21:00;7.6;83;0.00;100;0.00
2023-04-08T22:00;8.1;79;0.00;100;0.00
2023-04-08T23:00;7.9;78;0.00;81;0.00
2023-04-09T00:00;6.7;82;0.00;1;0.00
2023-04-09T01:00;5.9;85;0.00;12;0.00
2023-04-09T02:00;4.8;90;0.00;33;0.00
2023-04-09T03:00;4.4;92;0.00;80;0.00
2023-04-09T04:00;4.3;91;0.00;41;0.00
2023-04-09T05:00;3.8;92;0.00;32;0.00
2023-04-09T06:00;3.4;92;0.00;0;0.00
2023-04-09T07:00;4.9;89;0.00;0;2464.13
2023-04-09T08:00;7.3;83;0.00;0;3600.00
2023-04-09T09:00;9.7;76;0.00;0;3600.00
2023-04-09T10:00;11.5;66;0.00;0;3600.00
2023-04-09T11:00;12.8;54;0.00;23;3600.00
2023-04-09T12:00;13.2;48;0.00;57;3600.00
2023-04-09T13:00;14.1;43;0.00;70;3600.00
2023-04-09T14:00;14.3;43;0.00;53;3600.00
2023-04-09T15:00;14.4;43;0.00;44;3600.00
2023-04-09T16:00;14.6;41;0.00;47;3600.00
2023-04-09T17:00;14.3;41;0.00;24;3600.00
2023-04-09T18:00;13.0;49;0.00;15;3600.00
2023-04-09T19:00;10.5;54;0.00;1;2266.42
2023-04-09T20:00;8.9;59;0.00;0;0.00
2023-04-09T21:00;7.9;63;0.00;0;0.00
2023-04-09T22:00;7.9;61;0.00;0;0.00
2023-04-09T23:00;7.9;61;0.00;0;0.00
2023-04-10T00:00;7.2;65;0.00;0;0.00
2023-04-10T01:00;6.9;64;0.00;19;0.00
2023-04-10T02:00;5.1;72;0.00;14;0.00
2023-04-10T03:00;3.3;79;0.00;30;0.00
2023-04-10T04:00;4.0;74;0.00;30;0.00
2023-04-10T05:00;4.8;68;0.00;30;0.00
2023-04-10T06:00;4.8;67;0.00;30;0.00
2023-04-10T07:00;6.3;65;0.00;30;1930.88
2023-04-10T08:00;9.0;64;0.00;30;3600.00
2023-04-10T09:00;11.7;54;0.00;30;3600.00
2023-04-10T10:00;13.4;50;0.00;30;3600.00
2023-04-10T11:00;14.9;50;0.00;30;3600.00
2023-04-10T12:00;16.5;46;0.00;30;3600.00
2023-04-10T13:00;17.8;39;0.00;32;3600.00
2023-04-10T14:00;18.3;39;0.00;71;3600.00
2023-04-10T15:00;18.2;41;0.00;88;3600.00
2023-04-10T16:00;16.9;49;0.00;51;3600.00
2023-04-10T17:00;15.9;53;0.00;38;3600.00
2023-04-10T18:00;15.0;52;0.00;90;0.00
2023-04-10T19:00;14.2;50;0.00;90;0.00
2023-04-10T20:00;13.8;53;0.00;89;0.00
2023-04-10T21:00;14.0;57;0.10;90;0.00
2023-04-10T22:00;13.2;64;0.40;90;0.00
2023-04-10T23:00;13.5;57;0.00;100;0.00
2023-04-11T00:00;14.0;53;0.00;100;0.00
2023-04-11T01:00;11.6;73;0.00;100;0.00
2023-04-11T02:00;10.7;89;2.30;100;0.00
2023-04-11T03:00;10.6;93;1.00;100;0.00
2023-04-11T04:00;10.5;90;0.70;100;0.00
2023-04-11T05:00;9.6;88;1.30;100;0.00
2023-04-11T06:00;9.3;89;1.00;85;0.00
2023-04-11T07:00;9.3;87;0.10;100;0.00
2023-04-11T08:00;9.3;84;0.80;70;0.00
2023-04-11T09:00;10.0;80;0.00;54;2240.65
2023-04-11T10:00;11.3;71;0.00;26;3600.00
2023-04-11T11:00;12.6;60;0.00;39;3600.00
2023-04-11T12:00;13.2;53;0.10;99;3600.00
2023-04-11T13:00;12.9;58;0.10;61;3600.00
2023-04-11T14:00;12.8;52;0.00;60;3600.00
2023-04-11T15:00;13.1;49;0.00;34;3600.00
2023-04-11T16:00;12.7;53;0.00;38;3600.00
2023-04-11T17:00;12.5;53;0.00;32;3600.00
2023-04-11T18:00;12.0;54;0.00;88;3600.00
2023-04-11T19:00;10.6;59;0.00;90;0.00
2023-04-11T20:00;8.4;75;0.00;90;0.00
2023-04-11T21:00;8.6;71;0.00;90;0.00
2023-04-11T22:00;8.4;70;0.00;90;0.00
2023-04-11T23:00;8.7;66;0.00;90;0.00
2023-04-12T00:00;8.6;66;0.00;90;0.00
2023-04-12T01:00;9.1;64;0.10;100;0.00
2023-04-12T02:00;9.0;76;0.40;100;0.00
2023-04-12T03:00;8.7;85;0.50;100;0.00
2023-04-12T04:00;8.5;88;0.30;93;0.00
2023-04-12T05:00;8.5;87;0.40;100;0.00
2023-04-12T06:00;8.4;87;0.50;100;0.00
2023-04-12T07:00;8.8;87;0.30;100;0.00
2023-04-12T08:00;9.4;86;0.50;100;0.00
2023-04-12T09:00;10.4;84;0.50;100;0.00
2023-04-12T10:00;11.7;76;0.20;100;0.00
2023-04-12T11:00;11.5;75;0.30;100;0.00
2023-04-12T12:00;12.1;77;0.50;100;0.00
